Wpt_ID,lat,lon,E_UTM,N_UTM,ele,time,magvar,name,cmt,desc,sym,CreationTime
1,18.81315803,-97.29319797,679861.493,2081018.103,1837.816406,2024-08-31T16:16:33Z,,1,,,"Flag, Blue",2024-08-31T16:16:33Z
2,18.81203402,-97.29258299,679927.510,2080894.315,1821.744385,2024-08-31T16:40:14Z,,2,INST1,Instrumento No. 1,"Flag, Blue",2024-08-31T16:40:14Z
3,18.81231498,-97.29249297,679936.700,2080925.504,1828.016113,2024-09-14T16:38:54Z,,3,,,"Flag, Blue",2024-09-14T16:38:54Z
4,18.81358299,-97.29331004,679849.229,2081065.026,1866.335449,2024-09-14T19:14:10Z,,4,,,"Flag, Blue",2024-09-14T19:14:10Z
5,18.81356204,-97.29328103,679852.309,2081062.736,1865.008423,2024-09-14T19:16:23Z,,5,,,"Flag, Blue",2024-09-14T19:16:23Z
6,18.81354804,-97.29329696,679850.644,2081061.171,1866.056274,2024-09-14T19:16:51Z,,6,,,"Flag, Blue",2024-09-14T19:16:51Z
7,18.81356204,-97.29329101,679851.257,2081062.726,1868.156006,2024-09-14T19:16:59Z,,7,,,"Flag, Blue",2024-09-14T19:16:59Z
8,18.81357101,-97.29334197,679845.876,2081063.668,1869.486938,2024-09-14T19:18:04Z,,8,,,"Flag, Blue",2024-09-14T19:18:04Z
9,18.81356103,-97.29331196,679849.050,2081062.593,1869.018188,2024-09-14T19:18:23Z,,9,,,"Flag, Blue",2024-09-14T19:18:23Z
10,18.81355399,-97.29331599,679848.632,2081061.810,1868.865845,2024-09-14T19:18:28Z,,10,,,"Flag, Blue",2024-09-14T19:18:28Z
11,18.813628,-97.29341003,679838.641,2081069.907,1856.412598,2024-09-14T19:28:58Z,,11,,,"Flag, Blue",2024-09-14T19:28:58Z
12,18.81353899,-97.29319797,679861.088,2081060.269,1848.492676,2024-09-14T19:39:36Z,,12,INST2,Instrumento No. 2,"Flag, Blue",2024-09-14T19:39:36Z
13,18.81227198,-97.29263504,679921.771,2080920.601,1829.343018,2024-09-14T20:00:37Z,,13,INST3,Instrumento No. 3,"Flag, Blue",2024-09-14T20:00:37Z
14,18.81238597,-97.29261601,679923.656,2080933.237,1831.651489,2024-09-14T20:03:05Z,,14,HTX1,Huella de Toxodonte 1,"Flag, Blue",2024-09-14T20:03:05Z
15,18.81276601,-97.29265801,679918.824,2080975.259,1829.650024,2024-12-04T20:13:09Z,,15,CONCHA,Fragmento de concha,"Flag, Blue",2024-12-04T20:13:09Z
16,18.81275402,-97.29257503,679927.583,2080974.016,1823.763184,2024-12-04T20:19:45Z,,16,,,"Flag, Blue",2024-12-04T20:19:45Z
17,18.81287204,-97.29269296,679915.028,2080986.960,1820.526001,2024-12-04T20:23:55Z,,17,LPED,Lasca de pedernal,"Flag, Blue",2024-12-04T20:23:55Z
